name,model,simulator,success_0.5m,success_0.25m,l_mpjpe_mm,vel_err_mm,accel_err_mm
angular/bend/humanml_001727_chunk_0001,amass,isaacsim,1,0,46.3,5.354,1.344
angular/bend/humanml_001727_chunk_0001,amass,mujoco,1,0,39.09,5.072,1.301
angular/bend/humanml_001727_chunk_0001,phuma,isaacsim,1,1,37.46,2.88,0.697
angular/bend/humanml_001727_chunk_0001,phuma,mujoco,1,1,42.8,3.328,0.906
angular/bend/humanml_012063_chunk_0000,amass,isaacsim,1,1,33.34,1.077,0.251
angular/bend/humanml_012063_chunk_0000,amass,mujoco,1,1,32.99,1.085,0.261
angular/bend/humanml_012063_chunk_0000,phuma,isaacsim,1,1,24.61,1.077,0.264
angular/bend/humanml_012063_chunk_0000,phuma,mujoco,1,1,25.27,1.067,0.263
angular/bend/humanml_013109_chunk_0000,amass,isaacsim,1,1,39.11,2.677,0.612
angular/bend/humanml_013109_chunk_0000,amass,mujoco,1,0,44.35,3.942,0.938
angular/bend/humanml_013109_chunk_0000,phuma,isaacsim,1,1,37.7,3.188,0.577
angular/bend/humanml_013109_chunk_0000,phuma,mujoco,1,1,39.04,3.148,0.532
angular/kick/fitness_subset_0012_Side_Kick_To_Squat_R_clip_12_chunk_0000,amass,isaacsim,0,0,84.43,13.736,3.152
angular/kick/fitness_subset_0012_Side_Kick_To_Squat_R_clip_12_chunk_0000,amass,mujoco,0,0,82.46,12.723,3.0
angular/kick/fitness_subset_0012_Side_Kick_To_Squat_R_clip_12_chunk_0000,phuma,isaacsim,1,0,48.17,8.474,2.301
angular/kick/fitness_subset_0012_Side_Kick_To_Squat_R_clip_12_chunk_0000,phuma,mujoco,1,1,47.96,8.391,2.283
angular/kick/fitness_subset_0031_Kick_Back_To_Crunch_R_clip_34_chunk_0000,amass,isaacsim,0,0,49.31,11.658,2.846
angular/kick/fitness_subset_0031_Kick_Back_To_Crunch_R_clip_34_chunk_0000,amass,mujoco,0,0,46.96,11.726,3.06
angular/kick/fitness_subset_0031_Kick_Back_To_Crunch_R_clip_34_chunk_0000,phuma,isaacsim,1,0,42.48,7.539,2.11
angular/kick/fitness_subset_0031_Kick_Back_To_Crunch_R_clip_34_chunk_0000,phuma,mujoco,1,0,40.81,8.354,2.597
angular/kick/fitness_subset_0078_Step_Out_To_Kick_Punches_R_clip_30_chunk_0001,amass,isaacsim,0,0,46.49,8.672,2.018
angular/kick/fitness_subset_0078_Step_Out_To_Kick_Punches_R_clip_30_chunk_0001,amass,mujoco,0,0,49.26,9.077,1.855
angular/kick/fitness_subset_0078_Step_Out_To_Kick_Punches_R_clip_30_chunk_0001,phuma,isaacsim,1,1,53.52,6.972,1.875
angular/kick/fitness_subset_0078_Step_Out_To_Kick_Punches_R_clip_30_chunk_0001,phuma,mujoco,1,0,43.32,6.413,1.901
angular/turn/humanml_001367_chunk_0000,amass,isaacsim,0,0,32.67,9.027,1.526
angular/turn/humanml_001367_chunk_0000,amass,mujoco,1,0,36.13,7.695,2.192
angular/turn/humanml_001367_chunk_0000,phuma,isaacsim,1,1,29.81,5.505,1.877
angular/turn/humanml_001367_chunk_0000,phuma,mujoco,1,1,30.39,5.872,2.125
angular/turn/idea400_walking_and_Playing_mobile_games_at_the_same_time_clip1_chunk_0001,amass,isaacsim,0,0,60.11,7.619,1.443
angular/turn/idea400_walking_and_Playing_mobile_games_at_the_same_time_clip1_chunk_0001,amass,mujoco,0,0,58.74,13.349,3.265
angular/turn/idea400_walking_and_Playing_mobile_games_at_the_same_time_clip1_chunk_0001,phuma,isaacsim,1,0,65.54,5.785,1.582
angular/turn/idea400_walking_and_Playing_mobile_games_at_the_same_time_clip1_chunk_0001,phuma,mujoco,1,0,67.84,6.311,1.927
angular/turn/idea400_walking_while_Back_Pain_1_clip1_chunk_0001,amass,isaacsim,0,0,54.35,6.849,1.452
angular/turn/idea400_walking_while_Back_Pain_1_clip1_chunk_0001,amass,mujoco,1,0,47.62,6.515,1.703
angular/turn/idea400_walking_while_Back_Pain_1_clip1_chunk_0001,phuma,isaacsim,1,1,52.66,5.81,1.577
angular/turn/idea400_walking_while_Back_Pain_1_clip1_chunk_0001,phuma,mujoco,1,0,53.33,5.807,1.703
angular/twist/humanml_001038_chunk_0001,amass,isaacsim,1,1,38.56,5.175,1.125
angular/twist/humanml_001038_chunk_0001,amass,mujoco,1,1,39.08,4.773,1.123
angular/twist/humanml_001038_chunk_0001,phuma,isaacsim,1,1,40.68,5.225,1.192
angular/twist/humanml_001038_chunk_0001,phuma,mujoco,1,1,34.65,5.268,1.278
angular/twist/humanml_005449_chunk_0001,amass,isaacsim,0,0,50.68,11.373,3.073
angular/twist/humanml_005449_chunk_0001,amass,mujoco,0,0,59.65,13.138,3.418
angular/twist/humanml_005449_chunk_0001,phuma,isaacsim,1,1,30.27,3.093,0.685
angular/twist/humanml_005449_chunk_0001,phuma,mujoco,1,1,31.04,3.407,0.757
angular/twist/humanml_014576_chunk_0000,amass,isaacsim,1,1,43.82,4.877,0.906
angular/twist/humanml_014576_chunk_0000,amass,mujoco,1,1,46.19,5.243,1.097
angular/twist/humanml_014576_chunk_0000,phuma,isaacsim,1,1,34.94,4.792,1.168
angular/twist/humanml_014576_chunk_0000,phuma,mujoco,1,1,37.73,5.184,1.286
stationary/reach/humanml_002551_chunk_0000,amass,isaacsim,1,0,29.47,3.079,0.815
stationary/reach/humanml_002551_chunk_0000,amass,mujoco,1,1,26.42,2.851,0.748
stationary/reach/humanml_002551_chunk_0000,phuma,isaacsim,1,1,27.09,2.872,0.605
stationary/reach/humanml_002551_chunk_0000,phuma,mujoco,1,1,30.48,3.168,0.815
stationary/reach/humanml_010245_chunk_0000,amass,isaacsim,1,1,46.29,3.737,0.807
stationary/reach/humanml_010245_chunk_0000,amass,mujoco,1,1,40.67,3.808,0.902
stationary/reach/humanml_010245_chunk_0000,phuma,isaacsim,1,1,40.88,3.452,0.819
stationary/reach/humanml_010245_chunk_0000,phuma,mujoco,1,1,37.93,3.395,0.846
stationary/reach/humanml_013435_chunk_0001,amass,isaacsim,1,1,22.43,1.277,0.241
stationary/reach/humanml_013435_chunk_0001,amass,mujoco,1,1,20.48,1.298,0.236
stationary/reach/humanml_013435_chunk_0001,phuma,isaacsim,1,1,24.32,1.187,0.264
